DFIRM_ID,Version_ID,FloodAreaID,StudyType,FloodZone,ZoneSubtype,SFHA_TF,SourceCitation,ZoneDescription,AdoptedDate,GlobalID,OBJECTID,Shape__Area,Shape__Length
47037C,1.1.1.0,47037C_2009,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,e3a47453-64b1-4c68-a220-71a1fd52d2c5,107,69.0364990234375,58.712315946681
47037C,1.1.1.0,47037C_2010,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,017e09e1-76a4-4cc6-baaf-846b4c6c5ae1,108,3453.14331054688,866.660380835192
47037C,1.1.1.0,47037C_2011,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,5732e100-5436-45ed-975b-77b1bd9d9c9a,109,9.072998046875,22.8407680115623
47037C,1.1.1.0,47037C_2012,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,f887fd8b-e964-4d35-8c93-4d85454bc8cc,110,1406.11560058594,284.655682403723
47037C,1.1.1.0,47037C_2013,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,3c751e1e-af82-4880-9b3f-1c8e7be84767,111,90.3922119140625,98.4968930474738
47037C,1.1.1.0,47037C_2014,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,4c540272-c2fc-401a-a217-4682b31a3bed,112,19.8692626953125,25.1932125249871
47037C,1.1.1.0,47037C_2015,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,39383fda-7eab-4366-89b3-977e750b0999,113,435.254760742188,286.98113883921
47037C,1.1.1.0,47037C_2016,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,3d629503-1784-4608-aaaf-d918a37339fa,114,12.16455078125,30.5810482686772
47037C,1.1.1.0,47037C_2017,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,0627b1bc-4b19-441a-a66f-b2427dd0c02b,115,15.90625,41.4657072706791
47037C,1.1.1.0,47037C_2018,NP,AE, ,T,47037C_STUDY1,100-Year Floodplain,2024/06/20 00:00:00+00,4748f975-207b-4ca9-a641-e3ed65f2f986,116,50.57177734375,57.1636621789558
